,inicio,varinicio,varfim,PT_V,id,int,real,literal,leia,escreva,Num,RCB,OPM,se,entao,AB_P,FC_P,OPR,fimse ,fim,$,
0,S2,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,accept,
2,,S4,,,,,,,,,,,,,,,,,,,,
3,,,,,S18,,,,S11,S12,,,,S16,,,,,,S17,,
4,,,S8,,S7,,,,,,,,,,,,,,,,,
5,,,,,R3,,,,R3,R3,,,,R3,,,,,,R3,,R3
6,,,S8,,S7,,,,,,,,,,,,,,,,,
7,,,,,,S21,S22,S23,,,,,,,,,,,,,,
8,,,,S19,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,R2,R2
10,,,,,S18,,,,S11,S12,,,,S16,,,,,,S17,,
11,,,,,S33,,,,,,,,,,,,,,,,,
12,,,,,S32,,,S30,,,S31,,,,,,,,,,,
13,,,,,S18,,,,S11,S12,,,,,,,,,S42,,,
14,,,,,S18,,,,S11,S12,,,,S16,,,,,,S17,,
15,,,,,S18,,,,S11,S12,,,,S16,,,,,,S17,,
16,,,,,,,,,,,,,,,,S28,,,,,,
17,,,,,,,,,,,,,,,,,,,,R30,R30,R30
18,,,,,,,,,,,,S37,,,,,,,,,,
19,,,,,R5,,,,R5,R5,,,,R5,,,,,,R5,,R5
20,,,,S46,,,,,,,,,,,,,,,,,,
21,,,R7,,R7,,,,,,,,,,,,,,,,,R7
22,,,R8,,R8,,,,,,,,,,,,,,,,,R8
23,,,R9,,R9,,,,,,,,,,,,,,,,,R9
24,,,,,R4,,,,R4,R4,,,,R4,,,,,,R4,,R4
25,,,,,,,,,,,,,,,,,,,,R10,R10,R10
26,,,,,,,,,,,,,,,,,,,,R16,R16,R16
27,,,,,,,,,,,,,,,,,,,,R22,R22,R22
28,,,,S35,,,,,,,S36,,,,,,,,,,,
29,,,,S38,,,,,,,,,,,,,,,,,,
30,,,,,R13,,,,R13,R13,,,,R13,,,,,R13,R13,,R13
31,,,,,R14,,,,R14,R14,,,,R14,,,,,R14,R14,,R14
32,,,,,R15,,,,R15,R15,,,,R15,,,,,R15,R15,,R15
33,,,,S39,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,S50,,,,,
35,,,,,R20,,,,R20,R20,,,R20,R20,,,R20,R20,R20,R20,,R20
36,,,,,R21,,,,R21,R21,,,R21,R21,,,R21,R21,R21,R21,,R21
37,,,,,S35,,,,,,S36,,,,,,,,,,,
38,,,,,R12,,,,R12,R12,,,,R12,,,,,R12,R12,,R12
39,,,,,R11,,,,R11,R11,,,,R11,,,,,R11,R11,,R11
40,,,,,R23,,,,R23,R23,,,,R23,,,,,R23,R23,,R23
41,,,,,S18,,,,S11,S12,,,,,,,,,S42,,,
42,,,,,R29,,,,R29,R29,,,,R29,,,,,R29,R29,,R29
43,,,,,S18,,,,S11,S12,,,,S16,,,,,,,,
44,,,,,S18,,,,S11,S12,,,,S16,,,,,,,,
45,,,,,R28,,,,R28,R28,,,,R28,,,,,R28,R28,,R28
46,,,R6,,R6,,,,,,,,,,,,,,,,,R6
47,,,,,R26,,,,R26,R26,,,,R26,,,,,R26,R26,,R26
48,,,,,,,,,,,,,S49,,,,,,,,,
49,,,,,S35,,,,,,S36,,,,,,,,,,,
50,,,,,,,,,,,,,,,S53,,,,,,,
51,,,,S52,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,
53,,,,,R24,,,,R24,R24,,,,R24,,,,,R24,,,R24
54,,,,,,,,,,,,,S55,,,,,,,,,
55,,,,,S35,,,,,,S36,,,,,,,,,,,
56,,,,,R18,,,,R18,R18,,,,R18,,,,,R18,R18,,R18
57,,,,,,,,,,,,,,,,,R25,,,,,R25
58,,,,,R27,,,,R27,R27,,,,R27,,,,,R27,R27,,R27
